plan_id,lower_percent,upper_percent,interval_width_percentage_points,flight_count,energy_kwh,work_time_min
R001,0.0,23.089248385317727,23.089248385317727,18,59.13226032599277,546.275279704615
R002,23.089248385317727,27.04974165042051,3.9604932651027838,19,61.07431115757807,576.1026407604905
R003,27.04974165042051,27.93294131270203,0.8831996622815197,20,63.291051673035774,605.6000032134187
R004,27.93294131270203,28.48304745067569,0.5501061379736605,20,65.24374637868848,608.2261373144388
R005,28.48304745067569,31.019547278321667,2.536499827645976,20,67.2287315236232,609.7781053930521
R006,31.019547278321667,31.185001142751688,0.1654538644300203,20,67.23874008286306,609.7781053930521
R007,31.185001142751688,31.707188360601833,0.5221872178501457,20,69.40851960863192,611.7422775867911
R008,31.707188360601833,32.04250135030689,0.3353129897050593,20,69.424945962401,611.7422775867911
R009,32.04250135030689,32.481159227475295,0.4386578771684029,20,71.76060278959002,613.6658285104565
R010,32.481159227475295,33.625670586616486,1.144511359141191,20,74.29464357072257,615.3303248008755
R011,33.625670586616486,33.83397543431236,0.20830484769587088,21,74.06352420478905,643.263190963385
R012,33.83397543431236,33.892330509767845,0.05835507545548779,21,74.06757009931174,643.263190963385
R013,33.892330509767845,34.23082016410171,0.3384896543338627,22,76.15534610424601,674.8400187140194
R014,34.23082016410171,34.37428683208703,0.14346666798532226,22,76.17564414674078,674.8400187140194
R015,34.37428683208703,34.390361769385734,0.01607493729870413,23,76.003313418332,702.7438288462293
R016,34.390361769385734,34.77774518918476,0.3873834197990291,24,75.8637037342195,728.3705954560787
R017,34.77774518918476,35.11850882805334,0.3407636388685802,25,75.60892914897875,756.4034616185883
R018,35.11850882805334,35.266593693194835,0.14808486514149166,25,78.03068486372133,758.4270125422536
R019,35.266593693194835,35.26764734919061,0.0010536559957756708,25,83.20918878330642,761.5560051230913
