ring,vertex,east_km,north_km
0,0,2.2378166291688135,13.943657577782746
0,1,2.292621216207624,13.907140639621833
0,2,2.302403695495202,13.757704685040402
0,3,2.484696000262108,13.62974044842784
0,4,2.4789092149523926,13.536151611840562
0,5,2.56484505201304,13.387938603638599
0,6,2.616692364959167,12.99608822914068
0,7,2.475321864335703,12.862923506510375
0,8,2.346048792613394,12.617756906124367
0,9,2.1510418501867403,12.539824750192574
0,10,2.146414076246613,12.464953621768087
0,11,2.0465982773782456,12.388551072054188
0,12,2.0327165879852083,12.1639376523506
0,13,2.157879121831764,12.035056940115755
0,14,2.2709450535798905,12.018175751247536
0,15,2.412189804392768,11.534266358841357
0,16,2.5575375064276797,11.424405246318683
0,17,2.8372951168160676,11.335397717922868
0,18,2.871894226682423,11.279854758476977
0,19,2.8389640183131477,11.054935870176381
0,20,2.767450989066939,11.128586004004632
0,21,2.7581891995720964,10.9788435440431
0,22,2.6168352538633814,10.845681039407667
0,23,2.540692476790817,10.844458886488935
0,24,2.320885452014689,10.672635684900845
0,25,2.1709159042322703,10.707623720221692
0,26,2.2902786134358437,10.485151698151999
0,27,2.3819829240469352,10.430527325434074
0,28,2.464427722844574,10.226159803469887
0,29,2.4516969245219866,10.020263781790035
0,30,2.5433977464405206,9.965638165428928
0,31,2.555487479806534,9.853636719279685
0,32,2.6541324352347595,9.911317316414337
0,33,2.864670092699525,9.933392689325652
0,34,3.046403977924401,10.10459802346828
0,35,3.3319262593830397,10.109168540989055
0,36,3.7448984000327736,10.022272999603969
0,37,3.8447086177747907,10.098663950507106
0,38,4.036216828372945,10.1204192488648
0,39,4.140667113457817,10.271679695759909
0,40,4.3119833530937,10.274410273351416
0,41,4.512090662398232,10.128002359539343
0,42,4.60842565362508,10.148235000165855
0,43,4.700120276838835,10.093595715250878
0,44,4.871434997889339,10.096319764400448
0,45,5.205939373183426,9.970737155403585
0,46,5.192708419976273,10.06402418615759
0,47,5.3651842586920075,10.085460416050365
0,48,5.48752244085543,10.218296425964352
0,49,5.663484805541454,10.295882894626153
0,50,5.808347556522983,10.485171625688693
0,51,6.037936415594873,10.507504579295322
0,52,6.160727779078246,10.341151313082813
0,53,6.486655130512425,10.383699567522429
0,54,6.577182610844143,10.310330606251494
0,55,6.898459346866754,10.27799848629084
0,56,6.864306307473984,10.034366580765758
0,57,6.995225998612653,9.999030497373127
0,58,7.028643772164051,9.924758800085494
0,59,7.29513375453427,9.92895376304714
0,60,7.381000533093747,9.780708066848675
0,61,7.645160715333867,9.747460908533618
0,62,7.695281577224851,9.636050752850426
0,63,7.752385637051436,9.63694746145177
0,64,7.878643532261411,9.52673184106199
0,65,8.281863855375121,9.589152711665411
0,66,8.330814773539233,9.45902221614961
0,67,8.659062543737585,9.538958134549626
0,68,8.94458266161903,9.543421025826765
0,69,9.005183470783782,9.60046650699984
0,70,9.034708705564084,9.769224417114037
0,71,9.13454661814017,9.84558175156755
0,72,9.1392095848916,9.920453139821253
0,73,9.274787804224099,9.959968137860681
0,74,9.31635621311259,10.016715544924391
0,75,9.674528660383832,9.966198953294688
0,76,9.73550534286678,9.724052536405214
0,77,9.710638009128976,9.630166913689147
0,78,9.808514973020477,9.369894797072345
0,79,9.800348902801508,9.23886979777251
0,80,9.855118791482484,9.202322673380923
0,81,9.848118945748286,9.090015516002815
0,82,10.036127372873581,9.055540197801651
0,83,10.179064428019725,8.908163881912653
0,84,10.313469761632971,8.92895123809192
0,85,10.419502571705422,8.799699095214072
0,86,10.404683093191306,8.257176270678356
0,87,10.588009811399557,8.147821691325108
0,88,10.648962667663406,7.905669671562093
0,89,10.795385831668632,7.814439893441712
0,90,10.844308620264055,7.684299178036343
0,91,11.051330168340673,7.650104574754322
0,92,11.082386009522669,7.538386254090152
0,93,11.299089786512825,7.354739286261762
0,94,11.451347026548234,7.357091959055486
0,95,11.688244749443102,7.192450747168682
0,96,11.802436661061316,7.194212356252819
0,97,11.829978446520949,7.026338330911572
0,98,11.958523807297919,6.953520527091967
0,99,11.91259940807954,6.522715534040382
0,100,11.7580122018443,6.482932268674043
0,101,11.348177439393078,6.009109209950546
0,102,11.296094962484423,5.78390620111184
0,103,11.235499367795434,5.726870173293985
0,104,11.242845458218351,5.53998513745591
0,105,11.099952488621875,5.68737483161084
0,106,10.988108615289025,5.723044423035155
0,107,10.957056701425431,5.834762962896193
0,108,10.844043541104039,5.851713479932501
0,109,10.79196915245275,5.626509192529469
0,110,10.685142687621626,5.437856292972749
0,111,10.67848295019068,5.026356818020042
0,112,10.600031282361275,4.987741646666699
0,113,10.595360952865382,4.91286994413886
0,114,10.956911904688182,4.918468286561483
0,115,11.102134812979324,4.808515315795847
0,116,11.104808504780564,4.546758506879455
0,117,11.176249527127489,4.473063396199862
0,118,11.250360473622713,4.137610778417124
0,119,10.967275951915148,4.170634148102946
0,120,10.86863184763347,4.113008292152733
0,121,10.797191233082705,4.186701979273148
0,122,10.721078951665737,4.185523527571399
0,123,10.407291386568229,4.0310623572739805
0,124,9.87101277599479,3.9666377925117637
0,125,9.924595670273893,3.911371025658713
0,126,9.936622754486775,3.7993590113799027
0,127,10.067481452992899,3.7639919060370137
0,128,10.061646875924323,3.6704021853548614
0,129,10.022425323758625,3.6510932808889254
0,130,10.030950722522118,3.4829272548423384
0,131,10.299664846354435,3.524497503256274
0,132,10.41149329640478,3.488832028144816
0,133,10.407991251253934,3.432678182478884
0,134,10.308186983599409,3.3563310947996277
0,135,10.05850270537851,3.315056624144993
0,136,9.919480801006342,3.2193982612352667
0,137,9.688826944089643,3.1784134281085765
0,138,9.648440785193207,3.14038569838655
0,139,9.629778652601804,2.8408984221611004
0,140,9.416991698220528,2.7814877944181027
0,141,9.330393063968083,2.611841168140875
0,142,9.1793514925245,2.6281879802144736
0,143,9.17585407539495,2.5720341002104816
0,144,9.250791657467747,2.5545019057025056
0,145,9.300873431894326,2.4430832066639834
0,146,9.43521961864953,2.463874826200792
0,147,9.445714834898606,2.632336477750066
0,148,9.500460329037868,2.5957889068059328
0,149,9.488798298291943,2.408609285927732
0,150,9.628976385846865,2.5229890341863936
0,151,9.611480976460792,2.242219571919555
0,152,9.653031162929361,2.2989652443057507
0,153,9.708941402927724,2.281134760150951
0,154,9.700776134523734,2.1501089920230023
0,155,9.773378022143923,2.0951380576621745
0,156,9.874696422568409,1.8910141149346316
0,157,9.860696363809874,1.666398428142066
0,158,9.80362201324166,1.6655116713254112
0,159,9.753546829079525,1.7769325455707876
0,160,9.676280749944157,1.7570316029704005
0,161,9.740354455781933,1.8702267044800176
0,162,9.651061300870252,1.9623376694341013
0,163,9.613011023881135,1.9617459437954283
0,164,9.604846592920639,1.8307201421501405
0,165,9.524081757110338,1.754664510256053
0,166,9.538441574321501,1.6800885838264032
0,167,9.444483884133945,1.697326464170145
0,168,9.447982315554437,1.753480386253958
0,169,9.548937966474778,1.8485503461847321
0,170,9.578459676341073,2.017308032383116
0,171,9.485666071668605,2.053263994542477
0,172,9.426258124486456,2.014939781189684
0,173,9.391705977663404,2.070501384743822
0,174,9.510522412281354,2.1471498796919533
0,175,9.634368916318257,1.999477759441061
0,176,9.673585720539837,2.0187874070610428
0,177,9.620009163315926,2.0740537625510176
0,178,9.644866384984178,2.167939478747767
0,179,9.514021089492866,2.203303781232576
0,180,9.503159121688185,2.334033497507763
0,181,9.427056752654414,2.332849081104949
0,182,9.401034622520237,2.2202451242599732
0,183,9.434420987394521,2.1459655607227344
0,184,9.338128249354526,2.125766652884337
0,185,9.296579747523587,2.0690202042705588
0,186,9.258529271489127,2.068427563579411
0,187,9.283384185765165,2.162313734417876
0,188,9.378511000235374,2.1637950360012974
0,189,9.323766880956788,2.2003422607607726
0,190,9.327264856059555,2.256496158841465
0,191,9.392503801433406,2.38841062076329
0,192,9.273686197078067,2.311761128221663
0,193,9.269022502000572,2.236889267352626
0,194,9.218941283851445,2.348307913965372
0,195,9.176226885934035,2.2728431736660473
0,196,9.11915043697063,2.2719536699616114
0,197,9.1440047201706,2.3658400166718776
0,198,9.072565020758148,2.4395256217860806
0,199,9.185553368376233,2.4225868849668863
0,200,9.190216643800332,2.4974587337198715
0,201,8.923856054297268,2.493305857255456
0,202,8.864448013428557,2.454979418534292
0,203,8.817073763995321,2.3046419192845855
0,204,8.779022787532888,2.304048025947509
0,205,8.810866999239856,2.5102425693000194
0,206,8.867944260803235,2.5111333021268707
0,207,8.890466350923502,2.567584046029789
0,208,8.98559553509504,2.569067999344641
0,209,8.896293598823442,2.6611738421442497
0,210,8.758450869332053,2.584223459718081
0,211,8.730103023024324,2.4341827440889654
0,212,8.588768042984022,2.301077114830054
0,213,8.5413969993626,2.150738927817452
0,214,8.383370854100036,2.0547702527262897
0,215,8.158955534129923,1.8081632415903919
0,216,8.101109929164716,1.489362231344332
0,217,7.907373531953803,1.430229470332349
0,218,7.705491018120276,1.240068466797968
0,219,7.76994662288349,1.054081458206304
0,220,7.689195646332889,0.9780167523831905
0,221,7.8499316253329585,0.8122381184562107
0,222,7.915547530889967,0.6449681571109742
0,223,7.938458645867633,0.4022301077810156
0,224,8.026587394877094,0.29141125907585486
0,225,7.99824981451489,0.14136953307699582
0,226,8.069682799190357,0.06768849326517538
0,227,8.021158308580759,-0.10136891107100844
0,228,8.115105672889788,-0.11859853348283513
0,229,8.047558997395598,-0.2879534945098187
0,230,8.031257574058992,-0.5500055514549633
0,231,8.215652597851781,-0.6406199261295897
0,232,8.28242183565321,-0.7891744096452483
0,233,8.206723531503673,-1.0895547662163392
0,234,8.127145518080143,-1.146898686270823
0,235,8.256798944631761,-1.2009707074482732
0,236,8.272325892927459,-1.2568274226684324
0,237,8.193913033970654,-1.295452946672111
0,238,8.207110889488169,-1.38874563221553
0,239,8.082506352983687,-1.5589926243286187
0,240,7.808070472583696,-1.6941866898088696
0,241,7.643104991978713,-1.9024687321763032
0,242,7.730057187730129,-2.0320048844991425
0,243,7.700561524277355,-2.20076510725348
0,244,7.3143510246791035,-2.300319475779506
0,245,7.031384885926454,-2.2673628816097082
0,246,6.831886657677707,-2.420096437258806
0,247,6.7880338820902155,-2.514284746818041
0,248,6.846666949561673,-2.7938590674758252
0,249,6.762451991495744,-2.926081531875204
0,250,6.184920643117181,-3.047373493004767
0,251,6.1767861417084315,-3.17839977021778
0,252,6.097227111426669,-3.2357533534836396
0,253,6.016934859606198,-3.6110140766982877
0,254,6.2808587967995795,-3.644252752606141
0,255,6.1982392202733285,-4.056948925778211
0,256,6.121008528114187,-4.076866044102616
0,257,6.074840607297179,-4.208492105197786
0,258,5.998772732302133,-4.209691743466548
0,259,5.84082882015631,-4.30568245154711
0,260,5.710466913703102,-4.569536592849609
0,261,5.609577705265666,-4.664628656384392
0,262,5.514495985478847,-4.666131015895757
0,263,5.443075263087974,-4.59246109582888
0,264,5.373254157177465,-4.799261755825835
