service_id,row_zero_based,column_zero_based,t_enter,t_exit,start_distance_m,end_distance_m,elevation_m
S004,529,739,0.9970791062828065,1.0,7692.147881135721,7714.681646286507,195.11575317382812
S004,530,739,0.9930726131998566,0.9970791062828065,7661.239062482714,7692.147881135721,203.27952575683594
S004,531,739,0.9890661201169068,0.9930726131998566,7630.330243829707,7661.239062482714,215.39187622070312
S004,532,739,0.9850596270339569,0.9890661201169068,7599.421425176699,7630.330243829707,216.1753387451172
S004,533,739,0.981053133951007,0.9850596270339569,7568.512606523692,7599.421425176699,214.66004943847656
S004,534,739,0.9770466408680571,0.981053133951007,7537.603787870685,7568.512606523692,229.87893676757812
S004,535,739,0.9730401477851074,0.9770466408680571,7506.694969217679,7537.603787870685,247.15768432617188
S004,536,739,0.9690336547021575,0.9730401477851074,7475.7861505646715,7506.694969217679,263.1273193359375
S004,537,738,0.9650271616192077,0.9651989380259083,7444.877331911664,7446.2025322037025,257.2462158203125
S004,537,739,0.9651989380259083,0.9690336547021575,7446.2025322037025,7475.7861505646715,271.4110107421875
S004,538,738,0.9610206685362578,0.9650271616192077,7413.968513258657,7444.877331911664,267.2309265136719
S004,539,738,0.9570141754533079,0.9610206685362578,7383.059694605649,7413.968513258657,285.30792236328125
S004,540,738,0.953007682370358,0.9570141754533079,7352.150875952642,7383.059694605649,292.08544921875
S004,541,738,0.9490011892874082,0.953007682370358,7321.242057299635,7352.150875952642,282.1116027832031
S004,542,738,0.9449946962044583,0.9490011892874082,7290.333238646628,7321.242057299635,271.5724182128906
S004,543,738,0.9409882031215085,0.9449946962044583,7259.424419993622,7290.333238646628,256.258544921875
S004,544,738,0.9369817100385587,0.9409882031215085,7228.515601340615,7259.424419993622,240.78211975097656
S004,545,738,0.9329752169556088,0.9369817100385587,7197.606782687608,7228.515601340615,250.83314514160156
S004,546,738,0.9289687238726589,0.9329752169556088,7166.6979640346,7197.606782687608,247.1850128173828
S004,547,737,0.9249622307897091,0.9272495988756826,7135.789145381593,7153.435461972755,226.56436157226562
S004,547,738,0.9272495988756826,0.9289687238726589,7153.435461972755,7166.6979640346,244.2332305908203
S004,548,737,0.9209557377067592,0.9249622307897091,7104.880326728586,7135.789145381593,231.08905029296875
S004,549,737,0.9169492446238093,0.9209557377067592,7073.971508075579,7104.880326728586,234.0657196044922
S004,550,737,0.9129427515408595,0.9169492446238093,7043.062689422572,7073.971508075579,234.78997802734375
S004,551,737,0.9089362584579096,0.9129427515408595,7012.1538707695645,7043.062689422572,221.39276123046875
S004,552,737,0.9049297653749598,0.9089362584579096,6981.245052116557,7012.1538707695645,215.82855224609375
S004,553,737,0.90092327229201,0.9049297653749598,6950.33623346355,6981.245052116557,229.06832885742188
S004,554,737,0.8969167792090601,0.90092327229201,6919.427414810543,6950.33623346355,238.4581756591797
S004,555,737,0.8929102861261102,0.8969167792090601,6888.518596157536,6919.427414810543,239.22543334960938
S004,556,736,0.8889037930431604,0.8893002597254568,6857.609777504529,6860.668391741805,225.7750244140625
S004,556,737,0.8893002597254568,0.8929102861261102,6860.668391741805,6888.518596157536,230.7193145751953
S004,557,736,0.8848972999602105,0.8889037930431604,6826.700958851522,6857.609777504529,211.33372497558594
S004,558,736,0.8808908068772606,0.8848972999602105,6795.792140198515,6826.700958851522,200.69740295410156
S004,559,736,0.8768843137943108,0.8808908068772606,6764.883321545508,6795.792140198515,202.3566131591797
S004,560,736,0.872877820711361,0.8768843137943108,6733.974502892501,6764.883321545508,216.8209686279297
S004,561,736,0.8688713276284111,0.872877820711361,6703.065684239494,6733.974502892501,231.06822204589844
S004,562,736,0.8648648345454613,0.8688713276284111,6672.156865586487,6703.065684239494,239.76438903808594
S004,563,736,0.8608583414625114,0.8648648345454613,6641.24804693348,6672.156865586487,246.828369140625
S004,564,736,0.8568518483795615,0.8608583414625114,6610.3392282804725,6641.24804693348,233.67185974121094
S004,565,736,0.8528453552966117,0.8568518483795615,6579.430409627465,6610.3392282804725,230.15623474121094
S004,566,735,0.8488388622136618,0.8513509205752311,6548.521590974458,6567.901321510857,247.68048095703125
S004,566,736,0.8513509205752311,0.8528453552966117,6567.901321510857,6579.430409627465,240.2353515625
S004,567,735,0.8448323691307119,0.8488388622136618,6517.61277232145,6548.521590974458,238.3279266357422
S004,568,735,0.8408258760477622,0.8448323691307119,6486.703953668444,6517.61277232145,220.94308471679688
S004,569,735,0.8368193829648123,0.8408258760477622,6455.795135015437,6486.703953668444,229.5096435546875
S004,570,735,0.8328128898818624,0.8368193829648123,6424.88631636243,6455.795135015437,244.06739807128906
S004,571,735,0.8288063967989125,0.8328128898818624,6393.977497709423,6424.88631636243,245.2732391357422
S004,572,735,0.8247999037159627,0.8288063967989125,6363.068679056416,6393.977497709423,253.66372680664062
S004,573,735,0.8207934106330128,0.8247999037159627,6332.159860403408,6363.068679056416,269.6351623535156
S004,574,735,0.8167869175500629,0.8207934106330128,6301.251041750401,6332.159860403408,284.0322265625
S004,575,734,0.8127804244671131,0.8134015814250053,6270.342223097394,6275.134251279908,289.73907470703125
S004,575,735,0.8134015814250053,0.8167869175500629,6275.134251279908,6301.251041750401,296.2171630859375
S004,576,734,0.8087739313841632,0.8127804244671131,6239.433404444387,6270.342223097394,302.74163818359375
S004,577,734,0.8047674383012134,0.8087739313841632,6208.524585791381,6239.433404444387,316.51641845703125
S004,578,734,0.8007609452182636,0.8047674383012134,6177.6157671383735,6208.524585791381,318.63104248046875
S004,579,734,0.7967544521353137,0.8007609452182636,6146.706948485366,6177.6157671383735,318.6462097167969
S004,580,734,0.7927479590523638,0.7967544521353137,6115.798129832358,6146.706948485366,326.6756591796875
S004,581,734,0.788741465969414,0.7927479590523638,6084.889311179351,6115.798129832358,322.7115173339844
S004,582,734,0.7847349728864641,0.788741465969414,6053.980492526344,6084.889311179351,318.7444763183594
S004,583,734,0.7807284798035142,0.7847349728864641,6023.071673873337,6053.980492526344,325.69146728515625
S004,584,734,0.7767219867205644,0.7807284798035142,5992.16285522033,6023.071673873337,328.5135803222656
S004,585,733,0.7727154936376146,0.7754522422747795,5961.254036567324,5982.3671810489595,322.776611328125
S004,585,734,0.7754522422747795,0.7767219867205644,5982.3671810489595,5992.16285522033,333.7394714355469
S004,586,733,0.7687090005546647,0.7727154936376146,5930.345217914317,5961.254036567324,336.5574951171875
S004,587,733,0.7647025074717149,0.7687090005546647,5899.436399261309,5930.345217914317,348.2391662597656
S004,588,733,0.760696014388765,0.7647025074717149,5868.527580608302,5899.436399261309,347.11456298828125
S004,589,733,0.7566895213058151,0.760696014388765,5837.618761955295,5868.527580608302,337.35302734375
S004,590,733,0.7526830282228653,0.7566895213058151,5806.709943302288,5837.618761955295,325.6984558105469
S004,591,733,0.7486765351399154,0.7526830282228653,5775.801124649281,5806.709943302288,330.5505676269531
S004,592,733,0.7446700420569655,0.7486765351399154,5744.8923059962735,5775.801124649281,333.22174072265625
S004,593,733,0.7406635489740158,0.7446700420569655,5713.983487343267,5744.8923059962735,322.755615234375
S004,594,732,0.7366570558910659,0.7375029031245538,5683.074668690259,5689.600110818011,302.15777587890625
S004,594,733,0.7375029031245538,0.7406635489740158,5689.600110818011,5713.983487343267,309.6524963378906
S004,595,732,0.732650562808116,0.7366570558910659,5652.165850037252,5683.074668690259,311.37042236328125
S004,596,732,0.7286440697251662,0.732650562808116,5621.257031384245,5652.165850037252,323.8739929199219
S004,597,732,0.7246375766422163,0.7286440697251662,5590.348212731238,5621.257031384245,309.4656982421875
S004,598,732,0.7206310835592664,0.7246375766422163,5559.439394078231,5590.348212731238,294.41876220703125
S004,599,732,0.7166245904763165,0.7206310835592664,5528.530575425224,5559.439394078231,294.0818176269531
S004,600,732,0.7126180973933667,0.7166245904763165,5497.621756772217,5528.530575425224,290.4381103515625
S004,601,732,0.7086116043104169,0.7126180973933667,5466.71293811921,5497.621756772217,288.7551574707031
S004,602,732,0.704605111227467,0.7086116043104169,5435.804119466203,5466.71293811921,288.6454772949219
S004,603,732,0.7005986181445172,0.704605111227467,5404.895300813196,5435.804119466203,285.51690673828125
S004,604,731,0.6965921250615673,0.699553563974328,5373.986482160189,5396.833040587062,273.0462951660156
S004,604,732,0.699553563974328,0.7005986181445172,5396.833040587062,5404.895300813196,283.02777099609375
S004,605,731,0.6925856319786174,0.6965921250615673,5343.077663507182,5373.986482160189,268.54296875
S004,606,731,0.6885791388956676,0.6925856319786174,5312.1688448541745,5343.077663507182,264.420166015625
S004,607,731,0.6845726458127177,0.6885791388956676,5281.260026201167,5312.1688448541745,275.8066711425781
S004,608,731,0.6805661527297678,0.6845726458127177,5250.351207548159,5281.260026201167,277.4698181152344
S004,609,731,0.676559659646818,0.6805661527297678,5219.442388895152,5250.351207548159,269.40679931640625
S004,610,731,0.6725531665638682,0.676559659646818,5188.533570242146,5219.442388895152,272.1981201171875
S004,611,731,0.6685466734809183,0.6725531665638682,5157.624751589139,5188.533570242146,273.5014343261719
S004,612,731,0.6645401803979685,0.6685466734809183,5126.715932936132,5157.624751589139,265.5665283203125
S004,613,730,0.6605336873150186,0.6616042248241023,5095.807114283125,5104.065970356114,262.0197448730469
S004,613,731,0.6616042248241023,0.6645401803979685,5104.065970356114,5126.715932936132,249.9714813232422
S004,614,730,0.6565271942320687,0.6605336873150186,5064.898295630118,5095.807114283125,248.09786987304688
S004,615,730,0.6525207011491189,0.6565271942320687,5033.98947697711,5064.898295630118,244.8858642578125
S004,616,730,0.648514208066169,0.6525207011491189,5003.080658324103,5033.98947697711,232.8063201904297
S004,617,730,0.6445077149832191,0.648514208066169,4972.171839671096,5003.080658324103,224.1054229736328
S004,618,730,0.6405012219002694,0.6445077149832191,4941.26302101809,4972.171839671096,238.1753387451172
S004,619,730,0.6364947288173195,0.6405012219002694,4910.3542023650825,4941.26302101809,253.28311157226562
S004,620,730,0.6324882357343696,0.6364947288173195,4879.445383712075,4910.3542023650825,245.36541748046875
S004,621,730,0.6284817426514198,0.6324882357343696,4848.536565059068,4879.445383712075,245.01673889160156
S004,622,730,0.6244752495684699,0.6284817426514198,4817.62774640606,4848.536565059068,256.74700927734375
S004,623,729,0.62046875648552,0.6236548856738765,4786.718927753053,4811.298900125165,262.6319274902344
S004,623,730,0.6236548856738765,0.6244752495684699,4811.298900125165,4817.62774640606,269.24664306640625
S004,624,729,0.6164622634025702,0.62046875648552,4755.810109100046,4786.718927753053,273.4190673828125
S004,625,729,0.6124557703196203,0.6164622634025702,4724.901290447039,4755.810109100046,263.3919982910156
S004,626,729,0.6084492772366705,0.6124557703196203,4693.992471794033,4724.901290447039,249.02392578125
S004,627,729,0.6044427841537207,0.6084492772366705,4663.083653141026,4693.992471794033,259.81787109375
S004,628,729,0.6004362910707708,0.6044427841537207,4632.174834488019,4663.083653141026,256.8616027832031
S004,629,729,0.5964297979878209,0.6004362910707708,4601.266015835011,4632.174834488019,262.96710205078125
S004,630,729,0.592423304904871,0.5964297979878209,4570.357197182004,4601.266015835011,281.9906921386719
S004,631,729,0.5884168118219212,0.592423304904871,4539.448378528997,4570.357197182004,292.7298889160156
S004,632,728,0.5844103187389713,0.5857055465236507,4508.53955987599,4518.531829894216,281.0758056640625
S004,632,729,0.5857055465236507,0.5884168118219212,4518.531829894216,4539.448378528997,282.9464416503906
S004,633,728,0.5804038256560214,0.5844103187389713,4477.630741222983,4508.53955987599,268.830078125
S004,634,728,0.5763973325730716,0.5804038256560214,4446.7219225699755,4477.630741222983,259.4090576171875
S004,635,728,0.5723908394901218,0.5763973325730716,4415.813103916968,4446.7219225699755,250.90737915039062
S004,636,728,0.568384346407172,0.5723908394901218,4384.904285263961,4415.813103916968,239.4560089111328
S004,637,728,0.5643778533242221,0.568384346407172,4353.995466610954,4384.904285263961,220.03909301757812
S004,638,728,0.5603713602412722,0.5643778533242221,4323.086647957947,4353.995466610954,213.44931030273438
S004,639,728,0.5563648671583223,0.5603713602412722,4292.17782930494,4323.086647957947,231.58334350585938
S004,640,728,0.5523583740753725,0.5563648671583223,4261.269010651933,4292.17782930494,241.8838653564453
S004,641,728,0.5483518809924226,0.5523583740753725,4230.360191998926,4261.269010651933,243.23431396484375
S004,642,727,0.5443453879094727,0.547756207373425,4199.451373345919,4225.764759663268,235.0436248779297
S004,642,728,0.547756207373425,0.5483518809924226,4225.764759663268,4230.360191998926,248.972900390625
S004,643,727,0.540338894826523,0.5443453879094727,4168.542554692912,4199.451373345919,238.20452880859375
S004,644,727,0.5363324017435731,0.540338894826523,4137.633736039905,4168.542554692912,249.6328887939453
S004,645,727,0.5323259086606232,0.5363324017435731,4106.724917386898,4137.633736039905,258.0741882324219
S004,646,727,0.5283194155776734,0.5323259086606232,4075.8160987338906,4106.724917386898,261.97412109375
S004,647,727,0.5243129224947235,0.5283194155776734,4044.9072800808835,4075.8160987338906,261.73699951171875
S004,648,727,0.5203064294117736,0.5243129224947235,4013.998461427876,4044.9072800808835,251.66712951660156
S004,649,727,0.5162999363288238,0.5203064294117736,3983.089642774869,4013.998461427876,242.52313232421875
S004,650,727,0.5122934432458739,0.5162999363288238,3952.180824121862,3983.089642774869,230.7282257080078
S004,651,726,0.5082869501629241,0.5098068682231992,3921.2720054688552,3932.997689432319,229.3142547607422
S004,651,727,0.5098068682231992,0.5122934432458739,3932.997689432319,3952.180824121862,219.24574279785156
S004,652,726,0.5042804570799743,0.5082869501629241,3890.363186815848,3921.2720054688552,216.4515380859375
S004,653,726,0.5002739639970244,0.5042804570799743,3859.454368162841,3890.363186815848,207.93797302246094
S004,654,726,0.4962674709140745,0.5002739639970244,3828.545549509834,3859.454368162841,199.10415649414062
S004,655,726,0.49226097783112466,0.4962674709140745,3797.6367308568265,3828.545549509834,183.3037109375
S004,656,726,0.4882544847481748,0.49226097783112466,3766.7279122038194,3797.6367308568265,162.3950653076172
S004,657,726,0.484247991665225,0.4882544847481748,3735.819093550813,3766.7279122038194,150.92530822753906
S004,658,726,0.4802414985822751,0.484247991665225,3704.9102748978053,3735.819093550813,151.287353515625
S004,659,726,0.47623500549932524,0.4802414985822751,3674.001456244798,3704.9102748978053,156.31532287597656
S004,660,726,0.47222851241637537,0.47623500549932524,3643.092637591791,3674.001456244798,154.3355712890625
S004,661,725,0.4682220193334255,0.47185752907297346,3612.183818938784,3640.2306192013702,153.65542602539062
S004,661,726,0.47185752907297346,0.47222851241637537,3640.2306192013702,3643.092637591791,152.44845581054688
S004,662,725,0.4642155262504757,0.4682220193334255,3581.275000285777,3612.183818938784,152.39642333984375
S004,663,725,0.4602090331675258,0.4642155262504757,3550.36618163277,3581.275000285777,152.5611114501953
S004,664,725,0.45620254008457595,0.4602090331675258,3519.457362979763,3550.36618163277,152.6243438720703
S004,665,725,0.4521960470016261,0.45620254008457595,3488.5485443267553,3519.457362979763,155.0780792236328
S004,666,725,0.44818955391867626,0.4521960470016261,3457.6397256737487,3488.5485443267553,159.15647888183594
S004,667,725,0.4441830608357264,0.44818955391867626,3426.7309070207416,3457.6397256737487,178.21229553222656
S004,668,725,0.4401765677527765,0.4441830608357264,3395.822088367734,3426.7309070207416,194.13021850585938
S004,669,725,0.43617007466982666,0.4401765677527765,3364.913269714727,3395.822088367734,186.71287536621094
S004,670,724,0.43216358158687684,0.4339081899227477,3334.0044510617204,3347.463548970422,178.29190063476562
S004,670,725,0.4339081899227477,0.43617007466982666,3347.463548970422,3364.913269714727,175.8939971923828
S004,671,724,0.428157088503927,0.43216358158687684,3303.0956324087133,3334.0044510617204,168.65489196777344
S004,672,724,0.4241505954209771,0.428157088503927,3272.1868137557058,3303.0956324087133,162.89291381835938
S004,673,724,0.42014410233802724,0.4241505954209771,3241.2779951026987,3272.1868137557058,156.27044677734375
S004,674,724,0.4161376092550774,0.42014410233802724,3210.369176449692,3241.2779951026987,145.0
S004,675,724,0.41213111617212755,0.4161376092550774,3179.4603577966845,3210.369176449692,145.80996704101562
S004,676,724,0.4081246230891777,0.41213111617212755,3148.5515391436775,3179.4603577966845,149.3049774169922
S004,677,724,0.4041181300062278,0.4081246230891777,3117.6427204906704,3148.5515391436775,158.78688049316406
S004,678,724,0.400111636923278,0.4041181300062278,3086.733901837664,3117.6427204906704,164.19252014160156
S004,679,724,0.39610514384032813,0.400111636923278,3055.8250831846563,3086.733901837664,162.44692993164062
S004,680,723,0.39209865075737826,0.39595885077252196,3024.916264531649,3054.696478739473,160.19024658203125
S004,680,724,0.39595885077252196,0.39610514384032813,3054.696478739473,3055.8250831846563,165.89923095703125
S004,681,723,0.3880921576744284,0.39209865075737826,2994.007445878642,3024.916264531649,163.80648803710938
S004,682,723,0.3840856645914786,0.3880921576744284,2963.098627225635,2994.007445878642,165.24435424804688
S004,683,723,0.3800791715085287,0.3840856645914786,2932.189808572628,2963.098627225635,163.52664184570312
S004,684,723,0.37607267842557884,0.3800791715085287,2901.280989919621,2932.189808572628,156.2194366455078
S004,685,723,0.372066185342629,0.37607267842557884,2870.372171266614,2901.280989919621,153.82589721679688
S004,686,723,0.36805969225967916,0.372066185342629,2839.4633526136067,2870.372171266614,151.84320068359375
S004,687,723,0.3640531991767293,0.36805969225967916,2808.5545339605997,2839.4633526136067,154.1881866455078
S004,688,723,0.3600467060937794,0.3640531991767293,2777.6457153075926,2808.5545339605997,155.973388671875
S004,689,722,0.35604021301082955,0.35800951162229616,2746.736896654585,2761.9294085085244,143.43020629882812
S004,689,723,0.35800951162229616,0.3600467060937794,2761.9294085085244,2777.6457153075926,155.51866149902344
S004,690,722,0.3520337199278797,0.35604021301082955,2715.828078001578,2746.736896654585,142.5
S004,691,722,0.34802722684492987,0.3520337199278797,2684.9192593485714,2715.828078001578,157.056396484375
S004,692,722,0.34402073376198,0.34802722684492987,2654.0104406955643,2684.9192593485714,172.0814971923828
S004,693,722,0.34001424067903013,0.34402073376198,2623.1016220425568,2654.0104406955643,173.6873779296875
S004,694,722,0.33600774759608026,0.34001424067903013,2592.1928033895497,2623.1016220425568,190.79507446289062
S004,695,722,0.33200125451313045,0.33600774759608026,2561.283984736543,2592.1928033895497,208.95465087890625
S004,696,722,0.3279947614301806,0.33200125451313045,2530.3751660835355,2561.283984736543,208.00201416015625
S004,697,722,0.3239882683472307,0.3279947614301806,2499.4663474305285,2530.3751660835355,196.6715087890625
S004,698,721,0.31998177526428084,0.3200601724720704,2468.5575287775214,2469.1623382775756,180.39598083496094
