question,sortie,drone,delivery_horizontal_kwh,delivery_climb_kwh,return_horizontal_kwh,return_climb_kwh,total_kwh
Q1,Q1-S001-01,C,1.9511870756376157,0.0813370914874311,0.9396995715430697,0.023552066236553013,2.9957758049046697
Q1,Q1-S001-02,C,1.874099259375722,0.08023719843148207,0.9396995715430697,0.023552066236553013,2.9175880955868267
Q1,Q1-S002-01,B,1.5709648966225414,0.06171864692583084,1.0587905448791264,0.02199885281448894,2.7134729412419873
Q1,Q1-S002-02,C,3.330889503834752,0.08633752942180115,2.28047194281658,0.023657227872811954,5.721356203945945
Q1,Q1-S003-01,B,1.5396566308188897,0.14781622731660207,1.0376895668237054,0.05491560927341013,2.7800780342326075
Q1,Q1-S003-02,C,3.264507133246551,0.2067784779906689,2.235023682389519,0.05905540135709797,5.7653646949838375
Q1,Q1-S004-01,C,3.6022318728088987,0.13193764958251986,2.373748198857387,0.04494240792577662,6.152860129174582
Q1,Q1-S005-01,C,2.4656781204611673,0.09690814073348461,1.6247979597279143,0.03475315252254769,4.222137373445114
Q1,Q1-S006-01,C,1.4877382613150387,0.1162628355256725,0.9803688776464122,0.013566315951558638,2.5979362904386822
Q1,Q1-S007-01,C,1.805424024851908,0.16704972914253033,1.3952976538218471,0.04323240062703398,3.4110038084433194
Q1,Q1-S008-01,C,3.2165665239344476,0.10659644023973265,2.4858801380887616,0.026977565703416796,5.836020667966359
Q1,Q1-S009-01,B,1.2093085809177107,0.0563640315392918,0.8150433495170013,0.015549439763331119,2.0962654017373348
Q1,Q1-S010-01,B,1.014170059744936,0.10485506344716815,0.6835249294659695,0.020666511573340565,1.8232165642314142
Q1,Q1-S011-01,B,0.5952123690500213,0.05709028310103947,0.40115805891026746,0.020475975333775414,1.0739366863951036
Q1,Q1-S012-01,B,1.5666422136743985,0.09724961792957518,1.0558771660736266,0.03283095661233207,2.7525999542899324
Q1,Q1-S013-01,B,1.0279184247698354,0.09244191759327783,0.6927909792212544,0.011676869496379666,1.8248281910807473
Q1,Q1-S014-01,B,1.148736752292894,0.1580802654354943,0.7742194714202496,0.059254488993150216,2.1402909781417883
Q1,Q1-S015-01,B,1.2738428939773572,0.15121965148211583,0.8585378417457736,0.023928118547268853,2.3075285057525154
Q2,Q2-001,A,0.6259812374123362,0.07576476481114423,0.5735157934231512,0.013585724128885616,1.2888475197755174
Q2,Q2-002,C,3.0416606173856238,0.08085142747283841,2.28047194281658,0.023657227872811954,5.426641215547854
Q2,Q2-003,A,0.9831786140919689,0.08936052034016857,0.8729166338187805,0.012575090226870408,1.9580308584777883
Q2,Q2-004,A,0.5703739936720804,0.042895829182012346,0.5497242493526958,0.023585760179666824,1.1865798323864554
Q2,Q2-005,B,1.732586869321695,0.12126383966287188,1.1541586355412108,0.02508643448815582,3.0330957790139337
Q2,Q2-006,B,0.5272005758868576,0.07125495738190944,0.45517126462154855,0.012615315262536645,1.0662421131528523
Q2,Q2-007,C,1.7708721448246276,0.07858735884755852,0.9396995715430697,0.023552066236553013,2.8127111414518087
Q2,Q2-008,A,1.0987383637264092,0.15281092325431117,0.9755165339895145,0.06381252660800792,2.290878347578243
Q2,Q2-009,B,0.6753536685137049,0.08117653372622595,0.45517126462154855,0.012615315262536645,1.2243167821240162
Q2,Q2-010,A,1.5660474072759298,0.15110103236808212,1.3074888541978689,0.0591398869098263,3.083777180751707
Q2,Q2-011,A,0.8684616658294052,0.0850491070182586,0.8612414111271215,0.022256243232828297,1.8370084272076137
Q2,Q2-012,C,4.1085974688409514,0.15868389658984827,1.7554779835750798,0.016721628299336082,6.039480977305216
Q2,Q2-013,C,1.7708721448246276,0.07858735884755852,0.9396995715430697,0.023552066236553013,2.8127111414518087
Q2,Q2-014,A,0.8531031850812925,0.11485577547658743,0.8162491274857806,0.04329424955496964,1.8275023375986301
Q2,Q2-015,A,0.9400281045971618,0.0978647258840236,0.8612414111271215,0.022256243232828297,1.9213904848411352
Q2,Q2-016,B,1.5709648966225414,0.06171864692583084,1.0587905448791264,0.02199885281448894,2.7134729412419873
Q2,Q2-017,B,1.0558271360367626,0.1352099635357295,0.6478167678458576,0.0402018031581861,1.8790556705765358
