panel,segment,from,to,row,col,t_enter,t_exit,elevation_m,point_contact,distance_enter_m,distance_exit_m
1,1,O01,S008,523,648,0.9971022643870437,1.0,248.2891845703125,False,8055.699322720015,8079.110448788476
1,1,O01,S008,524,648,0.9931900005039059,0.9971022643870437,252.99481201171875,False,8024.091710703338,8055.699322720015
1,1,O01,S008,525,648,0.9906395279255445,0.9931900005039059,253.4600830078125,False,8003.48616104615,8024.091710703338
1,1,O01,S008,525,649,0.9892777366207681,0.9906395279255445,260.12530517578125,False,7992.484098686662,8003.48616104615
1,1,O01,S008,526,649,0.9853654727376303,0.9892777366207681,261.23358154296875,False,7960.876486669985,7992.484098686662
1,1,O01,S008,527,649,0.9814532088544926,0.9853654727376303,260.3319091796875,False,7929.2688746533095,7960.876486669985
1,1,O01,S008,528,649,0.9775409449713548,0.9814532088544926,256.8560485839844,False,7897.661262636633,7929.2688746533095
1,1,O01,S008,529,649,0.9752965039382668,0.9775409449713548,258.8279724121094,False,7879.528175634522,7897.661262636633
1,1,O01,S008,529,650,0.973628681088217,0.9752965039382668,276.72137451171875,False,7866.053650619957,7879.528175634522
1,1,O01,S008,530,650,0.9697164172050792,0.973628681088217,283.3652648925781,False,7834.44603860328,7866.053650619957
1,1,O01,S008,531,650,0.9658041533219414,0.9697164172050792,295.6534423828125,False,7802.838426586603,7834.44603860328
1,1,O01,S008,532,650,0.9618918894388035,0.9658041533219414,306.58551025390625,False,7771.230814569927,7802.838426586603
1,1,O01,S008,533,650,0.9599534799509891,0.9618918894388035,314.31085205078125,False,7755.570190222895,7771.230814569927
1,1,O01,S008,533,651,0.9579796255556658,0.9599534799509891,322.9093322753906,False,7739.623202553252,7755.570190222895
1,1,O01,S008,534,651,0.954067361672528,0.9579796255556658,307.96917724609375,False,7708.0155905365755,7739.623202553252
1,1,O01,S008,535,651,0.9501550977893902,0.954067361672528,285.2511901855469,False,7676.407978519898,7708.0155905365755
1,1,O01,S008,536,651,0.9462428339062524,0.9501550977893902,267.1428527832031,False,7644.800366503222,7676.407978519898
1,1,O01,S008,537,651,0.9446104559637114,0.9462428339062524,252.4549102783203,False,7631.6122048112675,7644.800366503222
1,1,O01,S008,537,652,0.9423305700231146,0.9446104559637114,255.05564880371094,False,7613.192754486546,7631.6122048112675
1,1,O01,S008,538,652,0.9384183061399769,0.9423305700231146,240.59654235839844,False,7581.58514246987,7613.192754486546
1,1,O01,S008,539,652,0.9345060422568391,0.9384183061399769,236.01766967773438,False,7549.977530453194,7581.58514246987
1,1,O01,S008,540,652,0.9305937783737013,0.9345060422568391,234.4785614013672,False,7518.369918436517,7549.977530453194
1,1,O01,S008,541,652,0.9292674319764338,0.9305937783737013,239.03366088867188,False,7507.65421939964,7518.369918436517
1,1,O01,S008,541,653,0.9266815144905635,0.9292674319764338,252.37945556640625,False,7486.762306419841,7507.65421939964
1,1,O01,S008,542,653,0.9227692506074257,0.9266815144905635,237.24539184570312,False,7455.154694403164,7486.762306419841
1,1,O01,S008,543,653,0.9188569867242878,0.9227692506074257,226.18600463867188,False,7423.547082386488,7455.154694403164
1,1,O01,S008,544,653,0.9149447228411501,0.9188569867242878,219.0988006591797,False,7391.939470369812,7423.547082386488
1,1,O01,S008,545,653,0.9139244079891561,0.9149447228411501,219.0626678466797,False,7383.696233988013,7391.939470369812
1,1,O01,S008,545,654,0.9110324589580123,0.9139244079891561,230.2826385498047,False,7360.331858353135,7383.696233988013
1,1,O01,S008,546,654,0.9071201950748745,0.9110324589580123,230.05514526367188,False,7328.724246336459,7360.331858353135
1,1,O01,S008,547,654,0.9032079311917367,0.9071201950748745,225.15780639648438,False,7297.116634319783,7328.724246336459
1,1,O01,S008,548,654,0.8992956673085989,0.9032079311917367,223.51820373535156,False,7265.509022303107,7297.116634319783
1,1,O01,S008,549,654,0.8985813840018784,0.8992956673085989,210.32510375976562,False,7259.738248576386,7265.509022303107
1,1,O01,S008,549,655,0.8953834034254611,0.8985813840018784,218.54214477539062,False,7233.901410286429,7259.738248576386
1,1,O01,S008,550,655,0.8914711395423234,0.8953834034254611,207.2244110107422,False,7202.293798269754,7233.901410286429
1,1,O01,S008,551,655,0.8875588756591856,0.8914711395423234,213.6440887451172,False,7170.686186253078,7202.293798269754
1,1,O01,S008,552,655,0.8836466117760478,0.8875588756591856,221.5296173095703,False,7139.078574236401,7170.686186253078
1,1,O01,S008,553,655,0.8832383600146008,0.8836466117760478,208.28152465820312,False,7135.780263164758,7139.078574236401
1,1,O01,S008,553,656,0.8797343478929099,0.8832383600146008,204.43264770507812,False,7107.470962219725,7135.780263164758
1,1,O01,S008,554,656,0.8758220840097721,0.8797343478929099,198.7283477783203,False,7075.863350203048,7107.470962219725
1,1,O01,S008,555,656,0.8719098201266344,0.8758220840097721,206.4857177734375,False,7044.255738186373,7075.863350203048
1,1,O01,S008,556,656,0.8679975562434966,0.8719098201266344,199.54124450683594,False,7012.648126169696,7044.255738186373
1,1,O01,S008,557,656,0.867895336027323,0.8679975562434966,190.30491638183594,False,7011.822277753131,7012.648126169696
1,1,O01,S008,557,657,0.8640852923603588,0.867895336027323,191.31826782226562,False,6981.04051415302,7011.822277753131
1,1,O01,S008,558,657,0.860173028477221,0.8640852923603588,202.4349822998047,False,6949.432902136344,6981.04051415302
1,1,O01,S008,559,657,0.8562607645940832,0.860173028477221,202.85975646972656,False,6917.8252901196665,6949.432902136344
1,1,O01,S008,560,657,0.8525523120400453,0.8562607645940832,191.2307586669922,False,6887.864292341504,6917.8252901196665
1,1,O01,S008,560,658,0.8523485007109454,0.8525523120400453,202.55966186523438,False,6886.21767810299,6887.864292341504
1,1,O01,S008,561,658,0.8484362368278077,0.8523485007109454,217.213134765625,False,6854.610066086315,6886.21767810299
1,1,O01,S008,562,658,0.8445239729446699,0.8484362368278077,231.8065643310547,False,6823.002454069639,6854.610066086315
1,1,O01,S008,563,658,0.840611709061532,0.8445239729446699,246.42410278320312,False,6791.394842052962,6823.002454069639
1,1,O01,S008,564,658,0.8372092880527677,0.840611709061532,254.71351623535156,False,6763.906306929876,6791.394842052962
1,1,O01,S008,564,659,0.8366994451783942,0.8372092880527677,250.45384216308594,False,6759.787230036285,6763.906306929876
