方案,W系数·秒,Cmax秒,目标能耗kWh,架次,归一化W,归一化Cmax,归一化E,归一化N,主权重F
加权推荐方案,47.892,7727.954,70.781829373,24.0,0.00011158327600707191,0.05079328038258643,0.35074383174862683,0.4166666666666667,0.10593363924731017
及时性权重放大,47.892,7727.954,70.781829373,24.0,0.00011158327600707191,0.05079328038258643,0.35074383174862683,0.4166666666666667,0.10593363924731017
完工时间权重放大,179071.716,6921.074,71.535264088,25.0,0.41721808885592576,-0.15476642066317256,0.38317741575118497,0.5,0.2754470085540339
能耗权重放大,42218.64,8760.787,62.508335392,19.0,0.0983649494646957,0.31391647430261715,-0.005410532637705608,0.0,0.12675983786838455
架次权重放大,42218.64,8760.787,62.508335392,19.0,0.0983649494646957,0.31391647430261715,-0.005410532637705608,0.0,0.12675983786838455
旧词典序：及时性,0.0,7715.162,85.86410138,31.0,0.0,0.047534407073324396,1.0,1.0,0.2618836017683311
旧词典序：完工时间,783.576,7528.576,83.189040162,30.0,0.001825648899200647,0.0,0.884844936132272,0.9166666666666666,0.2247758693605345
旧词典序：能耗,429204.104,11453.859,62.634022492,19.0,1.0,1.0,0.0,0.0,0.75
旧词典序：架次,60547.406,9906.71,65.525211747,19.0,0.14106902854777922,0.6058503297724012,0.12445886511790998,0.0,0.24274024090330823
