order,label,main_plot,main_index,sorties,energy_kwh,operation_s,operation_h,A,B,C,delta_sorties,delta_energy_kwh,delta_energy_pct,delta_operation_min
sorties>energy>time,架次→能耗→时间,True,0,18,59.13226032599277,32776.5167822769,9.104587995076917,0,9,9,0,0.0,0.0,0.0
sorties>time>energy,架次→时间→能耗,False,,18,59.13226032599277,32776.5167822769,9.104587995076917,0,9,9,0,0.0,0.0,0.0
energy>sorties>time,能耗→架次→时间,True,1,19,59.03487773780201,34440.48875202747,9.566802431118742,0,11,8,1,-0.0973825881907544,-0.16468605741415399,27.732866162509527
energy>time>sorties,能耗→时间→架次,False,,19,59.03487773780201,34440.48875202747,9.566802431118742,0,11,8,1,-0.0973825881907544,-0.16468605741415399,27.732866162509527
time>sorties>energy,时间→架次→能耗,True,2,18,59.13226032599277,32776.5167822769,9.104587995076917,0,9,9,0,0.0,0.0,0.0
time>energy>sorties,时间→能耗→架次,False,,18,59.13226032599277,32776.5167822769,9.104587995076917,0,9,9,0,0.0,0.0,0.0
