方案,阶段,种子,轮次,目标,状态,候选数,当前值（整数单位）,求解器界限（整数单位）,本层条件最优,整个前缀已证最优,用时s
及时性优先,局部组批重排,2,15,最后返航,可行，未证最优,1011,9152401,8827858.0,否,否,5.9544328
及时性优先,局部组批重排,2,15,能耗,可行，未证最优,1011,86992519217,84068554025.0,否,否,5.8845846
及时性优先,局部组批重排,2,15,架次,可行，未证最优,1011,32,30.0,否,否,5.7098022
及时性优先,局部组批重排,0,16,加权逾期,当前模型已证最优,99,0,0.0,是,是,0.5447268000000001
及时性优先,局部组批重排,0,16,最后返航,可行，未证最优,99,8051582,7365839.0,否,否,6.486739900000001
及时性优先,局部组批重排,0,16,能耗,当前模型已证最优,99,85674907462,85674907462.0,是,否,0.061496100000000005
及时性优先,局部组批重排,0,16,架次,当前模型已证最优,99,31,31.0,是,否,0.0525952
及时性优先,局部组批重排,1,17,加权逾期,限时未取得新解,64,,0.0,否,否,4.9984197
及时性优先,局部组批重排,2,18,加权逾期,当前模型已证最优,83,0,0.0,是,是,0.07512970000000001
及时性优先,局部组批重排,2,18,最后返航,可行，未证最优,83,7913310,7384246.0,否,否,6.635505200000001
及时性优先,局部组批重排,2,18,能耗,当前模型已证最优,83,87221646130,87221646130.0,是,否,0.0720851
及时性优先,局部组批重排,2,18,架次,当前模型已证最优,83,32,32.0,是,否,0.0479093
及时性优先,局部组批重排,0,19,加权逾期,当前模型已证最优,259,0,0.0,是,是,2.6401974000000004
及时性优先,局部组批重排,0,19,最后返航,可行，未证最优,259,9144765,7419794.0,否,否,5.761137000000001
及时性优先,局部组批重排,0,19,能耗,可行，未证最优,259,91199985580,84806295916.0,否,否,5.7451939
及时性优先,局部组批重排,0,19,架次,可行，未证最优,259,34,31.0,否,否,5.7009284000000005
及时性优先,局部组批重排,1,20,加权逾期,当前模型已证最优,86,0,0.0,是,是,0.28966420000000004
及时性优先,局部组批重排,1,20,最后返航,可行，未证最优,86,8384292,7657997.0,否,否,6.5640172
及时性优先,局部组批重排,1,20,能耗,当前模型已证最优,86,88987484469,88987484469.0,是,否,0.06297080000000001
及时性优先,局部组批重排,1,20,架次,当前模型已证最优,86,33,33.0,是,否,0.0413349
及时性优先,局部组批重排,2,21,加权逾期,当前模型已证最优,44,0,0.0,是,是,0.0271843
及时性优先,局部组批重排,2,21,最后返航,可行，未证最优,44,8525939,7636800.0,否,否,6.6567572
及时性优先,局部组批重排,2,21,能耗,当前模型已证最优,44,86555263117,86555263117.0,是,否,1.1976786000000001
及时性优先,局部组批重排,2,21,架次,当前模型已证最优,44,32,32.0,是,否,0.0244929
及时性优先,局部组批重排,0,22,加权逾期,限时未取得新解,1008,,0.0,否,否,5.0312535
及时性优先,局部组批重排,1,23,加权逾期,当前模型已证最优,130,0,0.0,是,是,0.1123098
及时性优先,局部组批重排,1,23,最后返航,可行，未证最优,130,7871159,7323372.0,否,否,6.611968200000001
及时性优先,局部组批重排,1,23,能耗,可行，未证最优,130,87775269512,85058433708.0,否,否,6.6048095
及时性优先,局部组批重排,1,23,架次,当前模型已证最优,130,32,32.0,是,否,0.0996128
及时性优先,局部组批重排,2,24,加权逾期,当前模型已证最优,170,0,0.0,是,是,0.16748300000000002
及时性优先,局部组批重排,2,24,最后返航,可行，未证最优,170,9017405,7320596.0,否,否,6.5954690000000005
及时性优先,局部组批重排,2,24,能耗,当前模型已证最优,170,85983112253,85983112253.0,是,否,4.2234656
及时性优先,局部组批重排,2,24,架次,当前模型已证最优,170,32,32.0,是,否,0.20329190000000003
及时性优先,局部组批重排,0,25,加权逾期,当前模型已证最优,134,0,0.0,是,是,0.5135217000000001
及时性优先,局部组批重排,0,25,最后返航,可行，未证最优,134,9706438,7510585.0,否,否,6.4838522
及时性优先,局部组批重排,0,25,能耗,当前模型已证最优,134,87480643093,87480643093.0,是,否,4.5419451
及时性优先,局部组批重排,0,25,架次,当前模型已证最优,134,32,32.0,是,否,0.0950753
及时性优先,局部组批重排,1,26,加权逾期,当前模型已证最优,94,0,0.0,是,是,0.08358600000000001
及时性优先,局部组批重排,1,26,最后返航,可行，未证最优,94,8039010,7544332.0,否,否,6.629249300000001
及时性优先,局部组批重排,1,26,能耗,可行，未证最优,94,89487369640,88787908426.0,否,否,6.624736400000001
及时性优先,局部组批重排,1,26,架次,当前模型已证最优,94,33,33.0,是,否,0.0855524
及时性优先,局部组批重排,2,27,加权逾期,当前模型已证最优,218,0,0.0,是,是,2.2420537
及时性优先,局部组批重排,2,27,最后返航,可行，未证最优,218,8759655,7383621.0,否,否,5.897811600000001
及时性优先,局部组批重排,2,27,能耗,可行，未证最优,218,88787908426,86671072486.0,否,否,5.8851275
及时性优先,局部组批重排,2,27,架次,当前模型已证最优,218,33,33.0,是,否,3.1613113000000004
及时性优先,局部组批重排,0,28,加权逾期,可行，未证最优,254,1694292,0.0,否,否,4.9912359
及时性优先,局部组批重排,0,28,最后返航,可行，未证最优,254,9706641,7324655.0,否,否,4.974862300000001
及时性优先,局部组批重排,0,28,能耗,可行，未证最优,254,90191218261,82424607803.0,否,否,4.9605175
及时性优先,局部组批重排,0,28,架次,可行，未证最优,254,34,30.0,否,否,4.9283337000000005
及时性优先,局部组批重排,1,29,加权逾期,当前模型已证最优,260,0,0.0,是,是,3.6575315
及时性优先,局部组批重排,1,29,最后返航,可行，未证最优,260,9309475,7321185.0,否,否,5.419302200000001
及时性优先,局部组批重排,1,29,能耗,可行，未证最优,260,86515671524,82424607803.0,否,否,5.404753400000001
及时性优先,局部组批重排,1,29,架次,可行，未证最优,260,33,30.0,否,否,5.3717103
及时性优先,局部组批重排,2,30,加权逾期,当前模型已证最优,298,0,0.0,是,是,0.47454250000000003
及时性优先,局部组批重排,2,30,最后返航,可行，未证最优,298,9309475,6936157.0,否,否,6.473601100000001
及时性优先,局部组批重排,2,30,能耗,可行，未证最优,298,79892825995,79722944683.0,否,否,6.4547581
及时性优先,局部组批重排,2,30,架次,当前模型已证最优,298,30,30.0,是,否,5.5609012
及时性优先,局部组批重排,0,31,加权逾期,限时未取得新解,1018,,0.0,否,否,4.9577871
及时性优先,局部组批重排,1,32,加权逾期,当前模型已证最优,108,0,0.0,是,是,0.10008410000000001
及时性优先,局部组批重排,1,32,最后返航,可行，未证最优,108,9478270,7514897.0,否,否,6.6435456
及时性优先,局部组批重排,1,32,能耗,可行，未证最优,108,102103548389,87218145910.0,否,否,6.609536
及时性优先,局部组批重排,1,32,架次,当前模型已证最优,108,37,37.0,是,否,2.7383153
及时性优先,局部组批重排,2,33,加权逾期,当前模型已证最优,218,0,0.0,是,是,0.19146310000000002
及时性优先,局部组批重排,2,33,最后返航,可行，未证最优,218,8759655,7497104.0,否,否,6.584890700000001
及时性优先,局部组批重排,2,33,能耗,可行，未证最优,218,88371015089,86053684105.0,否,否,6.5716862
及时性优先,局部组批重排,2,33,架次,当前模型已证最优,218,32,32.0,是,否,0.46390770000000003
及时性优先,局部组批重排,0,34,加权逾期,当前模型已证最优,222,0,0.0,是,是,0.2895917
及时性优先,局部组批重排,0,34,最后返航,可行，未证最优,222,8921732,7245288.0,否,否,6.548949100000001
及时性优先,局部组批重排,0,34,能耗,可行，未证最优,222,87480643093,85240699450.0,否,否,6.5377019
及时性优先,局部组批重排,0,34,架次,当前模型已证最优,222,32,32.0,是,否,0.3492468
及时性优先,局部组批重排,1,35,加权逾期,当前模型已证最优,332,0,0.0,是,是,0.6485602
及时性优先,局部组批重排,1,35,最后返航,可行，未证最优,332,8022964,7189591.0,否,否,6.4126835
及时性优先,局部组批重排,1,35,能耗,当前模型已证最优,332,84682170789,84682170789.0,是,否,3.7598908000000004
及时性优先,局部组批重排,1,35,架次,当前模型已证最优,332,31,31.0,是,否,0.6190736
及时性优先,局部组批重排,2,36,加权逾期,当前模型已证最优,224,0,0.0,是,是,1.3586677
及时性优先,局部组批重排,2,36,最后返航,可行，未证最优,224,9706641,7242405.0,否,否,6.1934749
及时性优先,局部组批重排,2,36,能耗,可行，未证最优,224,85027320139,84821278765.0,否,否,6.1820805000000005
及时性优先,局部组批重排,2,36,架次,当前模型已证最优,224,32,32.0,是,否,0.4295548
