方案,阶段,种子,轮次,目标,状态,候选数,当前值（整数单位）,求解器界限（整数单位）,本层条件最优,整个前缀已证最优,用时s
及时性优先,局部组批重排,1,74,架次,当前模型已证最优,239,29,29.0,是,否,0.3417428
及时性优先,局部组批重排,2,75,加权逾期,限时未取得新解,132,,0.0,否,否,4.9933866
及时性优先,局部组批重排,0,76,加权逾期,可行，未证最优,65,1837708,0.0,否,否,5.000037900000001
及时性优先,局部组批重排,0,76,最后返航,可行，未证最优,65,9359439,7504859.0,否,否,4.9994931000000005
及时性优先,局部组批重排,0,76,能耗,当前模型已证最优,65,85526843410,85526843410.0,是,否,0.07966440000000001
及时性优先,局部组批重排,0,76,架次,当前模型已证最优,65,31,31.0,是,否,0.040195
及时性优先,局部组批重排,1,77,加权逾期,可行，未证最优,289,17914930,0.0,否,否,4.9836206
及时性优先,局部组批重排,1,77,最后返航,可行，未证最优,289,9723825,7175307.0,否,否,4.9720326
及时性优先,局部组批重排,1,77,能耗,可行，未证最优,289,91174089918,82329576015.0,否,否,4.9488184
及时性优先,局部组批重排,1,77,架次,可行，未证最优,289,35,28.0,否,否,4.9077197
及时性优先,局部组批重排,2,78,加权逾期,当前模型已证最优,63,0,0.0,是,是,0.040876100000000005
及时性优先,局部组批重排,2,78,最后返航,可行，未证最优,63,7791929,7504859.0,否,否,6.6686461
及时性优先,局部组批重排,2,78,能耗,可行，未证最优,63,87311623212,86582886754.0,否,否,6.635498800000001
及时性优先,局部组批重排,2,78,架次,当前模型已证最优,63,32,32.0,是,否,0.0283885
及时性优先,局部组批重排,0,79,加权逾期,当前模型已证最优,131,0,0.0,是,是,0.2296004
及时性优先,局部组批重排,0,79,最后返航,可行，未证最优,131,8664280,7283932.0,否,否,6.5777716
及时性优先,局部组批重排,0,79,能耗,当前模型已证最优,131,84075292706,84075292706.0,是,否,0.1942734
及时性优先,局部组批重排,0,79,架次,当前模型已证最优,131,30,30.0,是,否,0.060239900000000006
及时性优先,局部组批重排,1,80,加权逾期,限时未取得新解,259,,0.0,否,否,4.9904627
及时性优先,局部组批重排,2,81,加权逾期,可行，未证最优,162,3956940,0.0,否,否,4.9932594
及时性优先,局部组批重排,2,81,最后返航,可行，未证最优,162,9271978,7255056.0,否,否,4.9851286
及时性优先,局部组批重排,2,81,能耗,可行，未证最优,162,98441355559,84156216516.0,否,否,4.9778737
及时性优先,局部组批重排,2,81,架次,可行，未证最优,162,36,31.0,否,否,4.9582644
及时性优先,局部组批重排,0,82,加权逾期,当前模型已证最优,308,0,0.0,是,是,0.6138534
及时性优先,局部组批重排,0,82,最后返航,可行，未证最优,308,8456976,7205995.0,否,否,6.424314900000001
及时性优先,局部组批重排,0,82,能耗,可行，未证最优,308,85656925418,83126376835.0,否,否,6.4067575
及时性优先,局部组批重排,0,82,架次,当前模型已证最优,308,31,31.0,是,否,6.096863300000001
及时性优先,局部组批重排,1,83,加权逾期,当前模型已证最优,319,0,0.0,是,是,0.47842700000000005
及时性优先,局部组批重排,1,83,最后返航,可行，未证最优,319,7919153,6970991.0,否,否,6.472495500000001
及时性优先,局部组批重排,1,83,能耗,可行，未证最优,319,85713948259,82599179197.0,否,否,6.451529900000001
及时性优先,局部组批重排,1,83,架次,可行，未证最优,319,31,30.0,否,否,6.395653
及时性优先,局部组批重排,2,84,加权逾期,当前模型已证最优,255,0,0.0,是,是,2.9849391
及时性优先,局部组批重排,2,84,最后返航,可行，未证最优,255,9133817,7333576.0,否,否,5.6468489
及时性优先,局部组批重排,2,84,能耗,可行，未证最优,255,94599616432,85298029009.0,否,否,5.6320208
及时性优先,局部组批重排,2,84,架次,可行，未证最优,255,34,31.0,否,否,5.5993713000000005
及时性优先,局部组批重排,0,85,加权逾期,当前模型已证最优,149,0,0.0,是,是,0.1076716
及时性优先,局部组批重排,0,85,最后返航,可行，未证最优,149,8664280,7410236.0,否,否,6.618289900000001
及时性优先,局部组批重排,0,85,能耗,当前模型已证最优,149,85569474961,85569474961.0,是,否,0.17872870000000002
及时性优先,局部组批重排,0,85,架次,当前模型已证最优,149,31,31.0,是,否,0.0970054
及时性优先,局部组批重排,1,86,加权逾期,可行，未证最优,268,17314930,0.0,否,否,4.986540000000001
及时性优先,局部组批重排,1,86,最后返航,可行，未证最优,268,9693825,7259029.0,否,否,4.970011100000001
及时性优先,局部组批重排,1,86,能耗,可行，未证最优,268,90364092096,85298029009.0,否,否,4.955909200000001
及时性优先,局部组批重排,1,86,架次,可行，未证最优,268,33,30.0,否,否,4.9253685
及时性优先,局部组批重排,2,87,加权逾期,当前模型已证最优,93,0,0.0,是,是,0.14423640000000001
及时性优先,局部组批重排,2,87,最后返航,可行，未证最优,93,7966123,7504859.0,否,否,6.6103627000000005
及时性优先,局部组批重排,2,87,能耗,当前模型已证最优,93,85599676020,85599676020.0,是,否,1.7483511
及时性优先,局部组批重排,2,87,架次,当前模型已证最优,93,31,31.0,是,否,0.043006800000000005
及时性优先,局部组批重排,0,88,加权逾期,当前模型已证最优,66,0,0.0,是,是,0.977828
及时性优先,局部组批重排,0,88,最后返航,可行，未证最优,66,8479336,7504859.0,否,否,6.3363662000000005
及时性优先,局部组批重排,0,88,能耗,当前模型已证最优,66,85526843410,85526843410.0,是,否,0.051104500000000004
及时性优先,局部组批重排,0,88,架次,当前模型已证最优,66,31,31.0,是,否,0.031278400000000005
及时性优先,局部组批重排,1,89,加权逾期,限时未取得新解,300,,0.0,否,否,4.9840492
及时性优先,局部组批重排,2,90,加权逾期,限时未取得新解,314,,0.0,否,否,4.9850194000000005
及时性优先,局部组批重排,0,91,加权逾期,当前模型已证最优,155,0,0.0,是,是,0.6436186
及时性优先,局部组批重排,0,91,最后返航,可行，未证最优,155,9359438,7269781.0,否,否,6.4384084
及时性优先,局部组批重排,0,91,能耗,当前模型已证最优,155,84072275957,84072275957.0,是,否,0.5965807000000001
及时性优先,局部组批重排,0,91,架次,当前模型已证最优,155,31,31.0,是,否,0.22770530000000003
及时性优先,局部组批重排,1,92,加权逾期,当前模型已证最优,166,0,0.0,是,是,2.852501
及时性优先,局部组批重排,1,92,最后返航,可行，未证最优,166,9129683,7271077.0,否,否,5.7003085
及时性优先,局部组批重排,1,92,能耗,可行，未证最优,166,95822026612,84072275957.0,否,否,5.6931779
及时性优先,局部组批重排,1,92,架次,可行，未证最优,166,36,33.0,否,否,5.6693642
及时性优先,局部组批重排,2,93,加权逾期,限时未取得新解,848,,0.0,否,否,4.941684
及时性优先,局部组批重排,0,94,加权逾期,可行，未证最优,67,58196676,0.0,否,否,5.005820900000001
及时性优先,局部组批重排,0,94,最后返航,可行，未证最优,67,8612360,7504859.0,否,否,4.994484900000001
及时性优先,局部组批重排,0,94,能耗,可行，未证最优,67,88218418610,85453845958.0,否,否,4.9885099
及时性优先,局部组批重排,0,94,架次,当前模型已证最优,67,32,32.0,是,否,0.0394416
及时性优先,局部组批重排,1,95,加权逾期,当前模型已证最优,155,0,0.0,是,是,1.0887295000000001
及时性优先,局部组批重排,1,95,最后返航,可行，未证最优,155,9488668,7081436.0,否,否,6.291689000000001
及时性优先,局部组批重排,1,95,能耗,当前模型已证最优,155,80082736507,80082736507.0,是,否,2.2655448000000002
及时性优先,局部组批重排,1,95,架次,当前模型已证最优,155,29,29.0,是,否,0.30379700000000004
及时性优先,局部组批重排,2,96,加权逾期,可行，未证最优,179,9065340,0.0,否,否,4.9925416
及时性优先,局部组批重排,2,96,最后返航,可行，未证最优,179,9513555,7228767.0,否,否,4.9835155
及时性优先,局部组批重排,2,96,能耗,当前模型已证最优,179,84279436689,84279436689.0,是,否,4.0160928
及时性优先,局部组批重排,2,96,架次,当前模型已证最优,179,30,30.0,是,否,0.26791380000000004
及时性优先,局部组批重排,0,97,加权逾期,可行，未证最优,100,47438704,0.0,否,否,4.998045100000001
及时性优先,局部组批重排,0,97,最后返航,可行，未证最优,100,8946469,7504859.0,否,否,4.9974203
及时性优先,局部组批重排,0,97,能耗,当前模型已证最优,100,85299637128,85299637128.0,是,否,0.1871624
及时性优先,局部组批重排,0,97,架次,当前模型已证最优,100,31,31.0,是,否,0.10170950000000001
及时性优先,局部组批重排,1,98,加权逾期,限时未取得新解,214,,0.0,否,否,4.980539
及时性优先,局部组批重排,2,99,加权逾期,当前模型已证最优,134,0,0.0,是,是,0.26236600000000004
及时性优先,局部组批重排,2,99,最后返航,可行，未证最优,134,9392877,7297202.0,否,否,6.567375800000001
及时性优先,局部组批重排,2,99,能耗,当前模型已证最优,134,84020215755,84020215755.0,是,否,0.268039
及时性优先,局部组批重排,2,99,架次,当前模型已证最优,134,30,30.0,是,否,0.08883400000000001
及时性优先,局部组批重排,0,100,加权逾期,可行，未证最优,219,232908698,0.0,否,否,4.9920882
及时性优先,局部组批重排,0,100,最后返航,可行，未证最优,219,11876614,7306563.0,否,否,4.9861496
及时性优先,局部组批重排,0,100,能耗,当前模型已证最优,219,84616694659,84616694659.0,是,否,2.8027813000000004
及时性优先,局部组批重排,0,100,架次,当前模型已证最优,219,30,30.0,是,否,0.2372796
及时性优先,局部组批重排,1,101,加权逾期,当前模型已证最优,100,0,0.0,是,是,0.13278520000000002
及时性优先,局部组批重排,1,101,最后返航,可行，未证最优,100,8081249,7504859.0,否,否,6.6141154
及时性优先,局部组批重排,1,101,能耗,当前模型已证最优,100,85757113648,85757113648.0,是,否,1.8357372
及时性优先,局部组批重排,1,101,架次,当前模型已证最优,100,31,31.0,是,否,0.047792600000000005
及时性优先,局部组批重排,2,102,加权逾期,当前模型已证最优,129,0,0.0,是,是,0.11665550000000001
及时性优先,局部组批重排,2,102,最后返航,可行，未证最优,129,7791929,7375607.0,否,否,6.6136711
及时性优先,局部组批重排,2,102,能耗,可行，未证最优,129,86640872424,85174293422.0,否,否,6.6063451
及时性优先,局部组批重排,2,102,架次,当前模型已证最优,129,32,32.0,是,否,0.12943190000000002
及时性优先,局部组批重排,0,103,加权逾期,当前模型已证最优,252,0,0.0,是,是,2.6982106000000003
及时性优先,局部组批重排,0,103,最后返航,可行，未证最优,252,9261678,7241513.0,否,否,5.7414943
及时性优先,局部组批重排,0,103,能耗,当前模型已证最优,252,84072275957,84072275957.0,是,否,2.8950945000000003
及时性优先,局部组批重排,0,103,架次,当前模型已证最优,252,31,31.0,是,否,3.1562719
及时性优先,局部组批重排,1,104,加权逾期,可行，未证最优,1066,57742920,0.0,否,否,4.9412485
及时性优先,局部组批重排,1,104,最后返航,可行，未证最优,1066,8952249,7189255.0,否,否,4.8889259
及时性优先,局部组批重排,1,104,能耗,可行，未证最优,1066,87680404093,84289197189.0,否,否,4.7803963000000005
及时性优先,局部组批重排,1,104,架次,可行，未证最优,1066,32,29.0,否,否,4.5946197
及时性优先,局部组批重排,2,105,加权逾期,当前模型已证最优,1055,0,0.0,是,是,2.4020508
及时性优先,局部组批重排,2,105,最后返航,可行，未证最优,1055,9055658,7198704.0,否,否,5.7397267
及时性优先,局部组批重排,2,105,能耗,可行，未证最优,1055,89033816876,84463660786.0,否,否,5.6453379
及时性优先,局部组批重排,2,105,架次,可行，未证最优,1055,33,29.0,否,否,5.463078100000001
及时性优先,局部组批重排,0,106,加权逾期,当前模型已证最优,145,0,0.0,是,是,0.8037110000000001
及时性优先,局部组批重排,0,106,最后返航,可行，未证最优,145,9349976,7271787.0,否,否,6.3865639000000005
及时性优先,局部组批重排,0,106,能耗,可行，未证最优,145,85217349287,84994743880.0,否,否,6.3774584
及时性优先,局部组批重排,0,106,架次,当前模型已证最优,145,31,31.0,是,否,0.5512997000000001
及时性优先,局部组批重排,1,107,加权逾期,当前模型已证最优,243,0,0.0,是,是,2.1311724
及时性优先,局部组批重排,1,107,最后返航,可行，未证最优,243,9230394,7237930.0,否,否,5.936381900000001
及时性优先,局部组批重排,1,107,能耗,当前模型已证最优,243,83971983144,83971983144.0,是,否,0.44117930000000005
及时性优先,局部组批重排,1,107,架次,当前模型已证最优,243,31,31.0,是,否,1.5109946
及时性优先,局部组批重排,2,108,加权逾期,可行，未证最优,277,235795464,0.0,否,否,4.9864635
及时性优先,局部组批重排,2,108,最后返航,可行，未证最优,277,10477304,7244260.0,否,否,4.9739405
及时性优先,局部组批重排,2,108,能耗,当前模型已证最优,277,84020949082,84020949082.0,是,否,4.5798386
及时性优先,局部组批重排,2,108,架次,当前模型已证最优,277,30,30.0,是,否,0.3139813
及时性优先,局部组批重排,0,109,加权逾期,当前模型已证最优,250,0,0.0,是,是,2.4509705
及时性优先,局部组批重排,0,109,最后返航,可行，未证最优,250,9437440,7269956.0,否,否,5.822557000000001
及时性优先,局部组批重排,0,109,能耗,当前模型已证最优,250,85526843410,85526843410.0,是,否,2.3782475
及时性优先,局部组批重排,0,109,架次,当前模型已证最优,250,31,31.0,是,否,0.2500348
及时性优先,局部组批重排,1,110,加权逾期,可行，未证最优,174,7360680,0.0,否,否,4.993861600000001
及时性优先,局部组批重排,1,110,最后返航,可行，未证最优,174,9317416,7080156.0,否,否,4.9863887
及时性优先,局部组批重排,1,110,能耗,可行，未证最优,174,90360483883,82987965733.0,否,否,4.978564700000001
及时性优先,局部组批重排,1,110,架次,当前模型已证最优,174,33,33.0,是,否,3.3316988000000003
及时性优先,局部组批重排,2,111,加权逾期,当前模型已证最优,96,0,0.0,是,是,0.06910530000000001
及时性优先,局部组批重排,2,111,最后返航,可行，未证最优,96,7791929,7504859.0,否,否,6.654149500000001
及时性优先,局部组批重排,2,111,能耗,当前模型已证最优,96,85453845958,85453845958.0,是,否,0.038117700000000004
及时性优先,局部组批重排,2,111,架次,当前模型已证最优,96,31,31.0,是,否,0.037676
及时性优先,局部组批重排,0,112,加权逾期,当前模型已证最优,178,0,0.0,是,是,0.2460401
及时性优先,局部组批重排,0,112,最后返航,可行，未证最优,178,8805430,7262468.0,否,否,6.5654076
及时性优先,局部组批重排,0,112,能耗,当前模型已证最优,178,84396288921,84396288921.0,是,否,0.6583237000000001
及时性优先,局部组批重排,0,112,架次,当前模型已证最优,178,30,30.0,是,否,0.23341800000000001
及时性优先,局部组批重排,1,113,加权逾期,当前模型已证最优,115,0,0.0,是,是,0.0833912
及时性优先,局部组批重排,1,113,最后返航,可行，未证最优,115,9244193,7331872.0,否,否,6.6316879
及时性优先,局部组批重排,1,113,能耗,当前模型已证最优,115,84075292706,84075292706.0,是,否,0.14882900000000002
及时性优先,局部组批重排,1,113,架次,当前模型已证最优,115,30,30.0,是,否,0.0670305
及时性优先,局部组批重排,2,114,加权逾期,当前模型已证最优,94,0,0.0,是,是,0.1602812
及时性优先,局部组批重排,2,114,最后返航,可行，未证最优,94,8594970,7354357.0,否,否,6.607338400000001
及时性优先,局部组批重排,2,114,能耗,当前模型已证最优,94,85356667794,85356667794.0,是,否,2.7834324
及时性优先,局部组批重排,2,114,架次,当前模型已证最优,94,31,31.0,是,否,0.08757720000000001
及时性优先,局部组批重排,0,115,加权逾期,限时未取得新解,260,,0.0,否,否,4.991251200000001
及时性优先,局部组批重排,1,116,加权逾期,当前模型已证最优,66,0,0.0,是,是,0.0467086
及时性优先,局部组批重排,1,116,最后返航,可行，未证最优,66,9042732,7504859.0,否,否,6.647035000000001
及时性优先,局部组批重排,1,116,能耗,当前模型已证最优,66,86415071549,86415071549.0,是,否,2.8042552
及时性优先,局部组批重排,1,116,架次,当前模型已证最优,66,31,31.0,是,否,0.0391303
及时性优先,局部组批重排,2,117,加权逾期,当前模型已证最优,156,0,0.0,是,是,0.9143962000000001
及时性优先,局部组批重排,2,117,最后返航,可行，未证最优,156,9419950,7196668.0,否,否,6.3455496
及时性优先,局部组批重排,2,117,能耗,可行，未证最优,156,87891419983,81691272045.0,否,否,6.3371319
及时性优先,局部组批重排,2,117,架次,当前模型已证最优,156,33,33.0,是,否,1.4480742000000002
及时性优先,局部组批重排,0,118,加权逾期,当前模型已证最优,99,0,0.0,是,是,2.5717146
及时性优先,局部组批重排,0,118,最后返航,可行，未证最优,99,9160853,7225249.0,否,否,5.800964700000001
及时性优先,局部组批重排,0,118,能耗,当前模型已证最优,99,83590964001,83590964001.0,是,否,3.9709434000000003
及时性优先,局部组批重排,0,118,架次,当前模型已证最优,99,30,30.0,是,否,0.0650906
及时性优先,局部组批重排,1,119,加权逾期,可行，未证最优,145,15684172,0.0,否,否,4.9931792
及时性优先,局部组批重排,1,119,最后返航,可行，未证最优,145,9170393,7271099.0,否,否,4.9858661
及时性优先,局部组批重排,1,119,能耗,当前模型已证最优,145,83969775543,83969775543.0,是,否,4.4617676
及时性优先,局部组批重排,1,119,架次,当前模型已证最优,145,31,31.0,是,否,0.12680170000000002
及时性优先,局部组批重排,2,120,加权逾期,当前模型已证最优,95,0,0.0,是,是,0.09586520000000001
及时性优先,局部组批重排,2,120,最后返航,可行，未证最优,95,9184543,7504859.0,否,否,6.629759600000001
及时性优先,局部组批重排,2,120,能耗,当前模型已证最优,95,85735794945,85735794945.0,是,否,1.3566983000000001
及时性优先,局部组批重排,2,120,架次,当前模型已证最优,95,31,31.0,是,否,0.1523392
及时性优先,局部组批重排,0,121,加权逾期,当前模型已证最优,139,0,0.0,是,是,3.7182215000000003
及时性优先,局部组批重排,0,121,最后返航,可行，未证最优,139,9872733,7107975.0,否,否,5.413386200000001
及时性优先,局部组批重排,0,121,能耗,当前模型已证最优,139,79913707076,79913707076.0,是,否,1.0193417
及时性优先,局部组批重排,0,121,架次,当前模型已证最优,139,30,30.0,是,否,0.32584040000000003
及时性优先,局部组批重排,1,122,加权逾期,当前模型已证最优,62,0,0.0,是,是,0.0700698
及时性优先,局部组批重排,1,122,最后返航,可行，未证最优,62,7978953,7471967.0,否,否,5.2384496
及时性优先,局部组批重排,1,122,能耗,可行，未证最优,62,87338360119,84812106442.0,否,否,5.2227851
及时性优先,局部组批重排,1,122,架次,当前模型已证最优,62,32,32.0,是,否,0.041153
及时性优先,局部组批重排,2,123,加权逾期,可行，未证最优,131,19546100,0.0,否,否,1.2609434000000002
及时性优先,局部组批重排,2,123,最后返航,可行，未证最优,131,9446806,7135528.0,否,否,1.2551448
及时性优先,局部组批重排,2,123,能耗,当前模型已证最优,131,82700526191,82700526191.0,是,否,0.7384947000000001
及时性优先,局部组批重排,2,123,架次,当前模型已证最优,131,30,30.0,是,否,0.3394112
及时性优先,局部组批重排,0,124,加权逾期,限时未取得新解,129,,0.0,否,否,0.3226294
及时性优先,局部组批重排,1,125,加权逾期,限时未取得新解,110,,0.0,否,否,0.21050960000000002
及时性优先,局部组批重排,2,126,加权逾期,限时未取得新解,147,,0.0,否,否,0.1331785
及时性优先,局部组批重排,0,127,加权逾期,限时未取得新解,91,,0.0,否,否,0.0725737
及时性优先,局部组批重排,1,128,加权逾期,限时未取得新解,218,,0.0,否,否,0.0136813
完工时间优先,局部组批重排,0,1,最后返航,可行，未证最优,193,9086828,7220367.0,否,否,4.9894178
完工时间优先,局部组批重排,0,1,加权逾期,可行，未证最优,193,33673218,0.0,否,否,4.9809392
完工时间优先,局部组批重排,0,1,能耗,当前模型已证最优,193,83462084215,83462084215.0,是,否,4.6462632
完工时间优先,局部组批重排,0,1,架次,当前模型已证最优,193,29,29.0,是,否,0.26002420000000004
完工时间优先,局部组批重排,1,2,最后返航,可行，未证最优,39,8233671,7504859.0,否,否,5.011052
完工时间优先,局部组批重排,1,2,加权逾期,当前模型已证最优,39,0,0.0,是,否,2.499022
完工时间优先,局部组批重排,1,2,能耗,可行，未证最优,39,84221289391,83689105040.0,否,否,6.2385093000000005
完工时间优先,局部组批重排,1,2,架次,当前模型已证最优,39,30,30.0,是,否,0.0164101
完工时间优先,局部组批重排,2,3,最后返航,可行，未证最优,58,8043905,7504859.0,否,否,4.9993170000000005
完工时间优先,局部组批重排,2,3,加权逾期,当前模型已证最优,58,0,0.0,是,否,0.0327731
完工时间优先,局部组批重排,2,3,能耗,当前模型已证最优,58,84299911707,84299911707.0,是,否,4.731567500000001
完工时间优先,局部组批重排,2,3,架次,当前模型已证最优,58,30,30.0,是,否,0.0217077
完工时间优先,局部组批重排,0,4,最后返航,可行，未证最优,181,8043905,7225956.0,否,否,4.9915856000000005
完工时间优先,局部组批重排,0,4,加权逾期,已达零逾期下界,181,0,0,是,否,0.0
完工时间优先,局部组批重排,0,4,能耗,当前模型已证最优,181,82772262841,82772262841.0,是,否,3.0917932
完工时间优先,局部组批重排,0,4,架次,当前模型已证最优,181,29,29.0,是,否,0.22038410000000003
完工时间优先,局部组批重排,1,5,最后返航,可行，未证最优,116,8697049,7408417.0,否,否,4.9973558
完工时间优先,局部组批重排,1,5,加权逾期,可行，未证最优,116,32003096,0.0,否,否,4.992703700000001
完工时间优先,局部组批重排,1,5,能耗,可行，未证最优,116,93462891685,82240078490.0,否,否,4.983724700000001
完工时间优先,局部组批重排,1,5,架次,当前模型已证最优,116,33,33.0,是,否,1.1484445
完工时间优先,局部组批重排,2,6,最后返航,可行，未证最优,290,9346590,7146927.0,否,否,4.9826867
完工时间优先,局部组批重排,2,6,加权逾期,当前模型已证最优,290,0,0.0,是,否,4.356750900000001
完工时间优先,局部组批重排,2,6,能耗,可行，未证最优,290,87861224342,81929996324.0,否,否,5.260328
完工时间优先,局部组批重排,2,6,架次,可行，未证最优,290,31,29.0,否,否,5.2221427
完工时间优先,局部组批重排,0,7,最后返航,可行，未证最优,160,8497993,7194304.0,否,否,4.992314
完工时间优先,局部组批重排,0,7,加权逾期,已达零逾期下界,160,0,0,是,否,0.0
完工时间优先,局部组批重排,0,7,能耗,可行，未证最优,160,81835155453,81497897483.0,否,否,7.479285600000001
完工时间优先,局部组批重排,0,7,架次,当前模型已证最优,160,29,29.0,是,否,0.2055104
完工时间优先,局部组批重排,1,8,最后返航,可行，未证最优,132,7791929,7033369.0,否,否,4.997017400000001
完工时间优先,局部组批重排,1,8,加权逾期,当前模型已证最优,132,0,0.0,是,否,0.11894260000000001
完工时间优先,局部组批重排,1,8,能耗,当前模型已证最优,132,81968851468,81968851468.0,是,否,0.28433990000000003
完工时间优先,局部组批重排,1,8,架次,当前模型已证最优,132,29,29.0,是,否,0.12553540000000002
完工时间优先,局部组批重排,2,9,最后返航,可行，未证最优,797,9726774,7112797.0,否,否,4.9552324
完工时间优先,局部组批重排,2,9,加权逾期,可行，未证最优,797,279580740,0.0,否,否,4.9195418
完工时间优先,局部组批重排,2,9,能耗,可行，未证最优,797,91243429362,78977788092.0,否,否,4.8400445
完工时间优先,局部组批重排,2,9,架次,可行，未证最优,797,35,25.0,否,否,4.7200217
完工时间优先,局部组批重排,0,10,最后返航,限时未取得新解,164,,7221334.0,否,否,4.9916144000000005
完工时间优先,局部组批重排,1,11,最后返航,可行，未证最优,219,9389201,7135281.0,否,否,4.9888658
完工时间优先,局部组批重排,1,11,加权逾期,可行，未证最优,219,132288198,0.0,否,否,4.979948800000001
完工时间优先,局部组批重排,1,11,能耗,可行，未证最优,219,80752447479,80623440660.0,否,否,4.9671461
完工时间优先,局部组批重排,1,11,架次,当前模型已证最优,219,28,28.0,是,否,0.35713690000000003
完工时间优先,局部组批重排,2,12,最后返航,可行，未证最优,118,9255941,7155421.0,否,否,4.997723000000001
完工时间优先,局部组批重排,2,12,加权逾期,可行，未证最优,118,15677002,0.0,否,否,4.993927800000001
完工时间优先,局部组批重排,2,12,能耗,当前模型已证最优,118,83162605314,83162605314.0,是,否,1.5225514
完工时间优先,局部组批重排,2,12,架次,当前模型已证最优,118,30,30.0,是,否,0.1366909
完工时间优先,局部组批重排,0,13,最后返航,可行，未证最优,192,9638724,7097418.0,否,否,4.9896686
完工时间优先,局部组批重排,0,13,加权逾期,可行，未证最优,192,36479338,0.0,否,否,4.9834116
完工时间优先,局部组批重排,0,13,能耗,当前模型已证最优,192,80244027304,80244027304.0,是,否,4.0283144
完工时间优先,局部组批重排,0,13,架次,当前模型已证最优,192,28,28.0,是,否,0.308669
完工时间优先,局部组批重排,1,14,最后返航,可行，未证最优,125,9197443,7165292.0,否,否,4.9957102
完工时间优先,局部组批重排,1,14,加权逾期,可行，未证最优,125,89221644,0.0,否,否,4.9934611
完工时间优先,局部组批重排,1,14,能耗,当前模型已证最优,125,81188123210,81188123210.0,是,否,0.2003201
完工时间优先,局部组批重排,1,14,架次,当前模型已证最优,125,29,29.0,是,否,0.1062139
完工时间优先,局部组批重排,2,15,最后返航,可行，未证最优,140,9522852,7034510.0,否,否,5.0102093000000005
完工时间优先,局部组批重排,2,15,加权逾期,可行，未证最优,140,15624554,0.0,否,否,4.9829829000000005
完工时间优先,局部组批重排,2,15,能耗,当前模型已证最优,140,81835155453,81835155453.0,是,否,2.5521831
完工时间优先,局部组批重排,2,15,架次,当前模型已证最优,140,29,29.0,是,否,0.12454340000000001
完工时间优先,局部组批重排,0,16,最后返航,可行，未证最优,172,7791929,7203143.0,否,否,4.9920502
完工时间优先,局部组批重排,0,16,加权逾期,当前模型已证最优,172,0,0.0,是,否,0.1998751
完工时间优先,局部组批重排,0,16,能耗,当前模型已证最优,172,78528715176,78528715176.0,是,否,0.6357918
完工时间优先,局部组批重排,0,16,架次,当前模型已证最优,172,28,28.0,是,否,0.17589000000000002
完工时间优先,局部组批重排,1,17,最后返航,可行，未证最优,169,7528576,6741985.0,否,否,4.9941814
完工时间优先,局部组批重排,1,17,加权逾期,可行，未证最优,169,1576044,0.0,否,否,4.9873525
完工时间优先,局部组批重排,1,17,能耗,可行，未证最优,169,81599943731,78172886660.0,否,否,4.977714000000001
完工时间优先,局部组批重排,1,17,架次,当前模型已证最优,169,29,29.0,是,否,0.2758238
完工时间优先,局部组批重排,2,18,最后返航,可行，未证最优,153,7861698,6946620.0,否,否,4.9938609000000005
完工时间优先,局部组批重排,2,18,加权逾期,可行，未证最优,153,7974600,0.0,否,否,4.986077300000001
完工时间优先,局部组批重排,2,18,能耗,当前模型已证最优,153,79372045665,79372045665.0,是,否,0.19899540000000002
完工时间优先,局部组批重排,2,18,架次,当前模型已证最优,153,29,29.0,是,否,0.18116610000000002
完工时间优先,局部组批重排,0,19,最后返航,可行，未证最优,115,9029071,6872109.0,否,否,4.9956695
完工时间优先,局部组批重排,0,19,加权逾期,可行，未证最优,115,75149076,1576044.0,否,否,4.9931226
完工时间优先,局部组批重排,0,19,能耗,当前模型已证最优,115,78623506491,78623506491.0,是,否,0.3936951
完工时间优先,局部组批重排,0,19,架次,当前模型已证最优,115,28,28.0,是,否,0.09546800000000001
完工时间优先,局部组批重排,1,20,最后返航,可行，未证最优,89,8484658,6946555.0,否,否,4.9962632000000005
完工时间优先,局部组批重排,1,20,加权逾期,可行，未证最优,89,3182700,0.0,否,否,4.9915389
完工时间优先,局部组批重排,1,20,能耗,当前模型已证最优,89,79144802383,79144802383.0,是,否,0.44347800000000004
完工时间优先,局部组批重排,1,20,架次,当前模型已证最优,89,29,29.0,是,否,0.0824942
完工时间优先,局部组批重排,2,21,最后返航,可行，未证最优,1141,8939070,6938316.0,否,否,4.938149
完工时间优先,局部组批重排,2,21,加权逾期,可行，未证最优,1141,4291714,1576044.0,否,否,4.8775376
完工时间优先,局部组批重排,2,21,能耗,可行，未证最优,1141,86451078271,75179312474.0,否,否,4.7573222
完工时间优先,局部组批重排,2,21,架次,可行，未证最优,1141,31,27.0,否,否,4.5726249
完工时间优先,局部组批重排,0,22,最后返航,可行，未证最优,133,7599646,6800244.0,否,否,4.9936489
完工时间优先,局部组批重排,0,22,加权逾期,当前模型已证最优,133,1576044,1576044.0,是,否,3.0186970000000004
完工时间优先,局部组批重排,0,22,能耗,当前模型已证最优,133,77832966916,77832966916.0,是,否,0.4521144
完工时间优先,局部组批重排,0,22,架次,当前模型已证最优,133,27,27.0,是,否,0.41447300000000004
完工时间优先,局部组批重排,1,23,最后返航,可行，未证最优,83,8667460,7062572.0,否,否,4.997505100000001
